Date mutation,Valeur fonciere,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,année,prix_m2
29/01/2021,288000.0,LA TESTE-DE-BUCH,33,Appartement,71.0,3.0,2021,4056.3380281690143
13/07/2021,315000.0,ARES,33,Maison,73.0,3.0,2021,4315.068493150685
20/12/2021,515000.0,CLICHY,92,Appartement,73.0,2.0,2021,7054.7945205479455
28/07/2021,170870.0,LYON 5EME,69,Appartement,52.0,2.0,2021,3285.9615384615386
27/01/2021,160000.0,SAINT LAURENT DU VAR,06,Appartement,56.0,3.0,2021,2857.1428571428573
01/06/2021,50000.0,LIBOURNE,33,Maison,83.0,3.0,2021,602.4096385542168
24/08/2021,179000.0,MANDELIEU-LA-NAPOULE,06,Appartement,35.0,1.0,2021,5114.285714285715
21/06/2021,215000.0,IGUERANDE,71,Maison,130.0,5.0,2021,1653.8461538461538
27/07/2021,68000.0,BLOIS,41,Appartement,30.0,1.0,2021,2266.6666666666665
25/11/2021,181000.0,TOULON,83,Appartement,57.0,3.0,2021,3175.438596491228
13/07/2021,250000.0,SAINT-MITRE-LES-REMPARTS,13,Maison,65.0,3.0,2021,3846.153846153846
06/07/2021,125000.0,BESANCON,25,Appartement,44.0,2.0,2021,2840.909090909091
15/06/2021,77000.0,SETE,34,Appartement,27.0,2.0,2021,2851.8518518518517
15/06/2021,482000.0,AUREILLE,13,Maison,224.0,8.0,2021,2151.785714285714
02/10/2021,302950.0,SAINT-ZACHARIE,83,Maison,82.0,4.0,2021,3694.512195121951
01/07/2021,166000.0,PESSAC,33,Appartement,82.0,5.0,2021,2024.3902439024391
07/12/2021,397000.0,ECROSNES,28,Maison,140.0,5.0,2021,2835.714285714286
20/04/2021,170000.0,BEAUSOLEIL,06,Appartement,12.0,1.0,2021,14166.666666666666
29/01/2021,180000.0,EAUBONNE,95,Appartement,70.0,3.0,2021,2571.4285714285716
20/07/2021,238900.0,ANGLET,64,Appartement,48.0,3.0,2021,4977.083333333333
26/03/2021,155000.0,LILLE,59,Appartement,30.0,2.0,2021,5166.666666666667
17/08/2021,315000.0,CONCARNEAU,29,Maison,76.0,5.0,2021,4144.736842105263
28/09/2021,111850.0,IZEAUX,38,Appartement,60.0,3.0,2021,1864.1666666666667
25/05/2021,508726.0,LYON 3EME,69,Appartement,77.0,3.0,2021,6606.831168831169
27/02/2021,150000.0,CHAMPAGNOLE,39,Maison,92.0,4.0,2021,1630.4347826086957
07/05/2021,30500.0,VERMENTON,89,Maison,57.0,3.0,2021,535.0877192982456
17/06/2021,168480.0,MERIGNAC,33,Maison,95.0,4.0,2021,1773.4736842105262
20/12/2021,39000.0,FONT-ROMEU ODEILLO-VIA,66,Appartement,27.0,1.0,2021,1444.4444444444443
19/01/2021,80000.0,ST JULIEN DU SAULT,89,Maison,70.0,2.0,2021,1142.857142857143
20/07/2021,64000.0,MONTPELLIER,34,Appartement,41.0,2.0,2021,1560.9756097560976
16/02/2021,103350.0,BREST,29,Appartement,68.0,3.0,2021,1519.8529411764705
29/07/2021,100000.0,CRAVANCHE,90,Appartement,52.0,2.0,2021,1923.076923076923
18/01/2021,304000.0,SAINT-OUEN-SUR-SEINE,93,Appartement,43.0,2.0,2021,7069.767441860465
08/11/2021,108000.0,HARNES,62,Maison,68.0,4.0,2021,1588.235294117647
25/09/2021,70000.0,SAINT-NIC,29,Appartement,25.0,2.0,2021,2800.0
04/08/2021,46000.0,GAILLAC,81,Appartement,24.0,1.0,2021,1916.6666666666667
04/01/2021,337000.0,VERNON,27,Appartement,42.0,3.0,2021,8023.809523809524
26/08/2021,112000.0,RIVES-EN-SEINE,76,Maison,90.0,6.0,2021,1244.4444444444443
02/03/2021,295000.0,ST JEAN DE BRAYE,45,Maison,162.0,9.0,2021,1820.9876543209878
18/03/2021,37100.0,CREANCEY,21,Maison,112.0,4.0,2021,331.25
28/07/2021,115570.0,SALON-DE-PROVENCE,13,Appartement,53.0,3.0,2021,2180.566037735849
16/04/2021,250400.0,SAINT-ETIENNE,42,Appartement,71.0,3.0,2021,3526.760563380282
08/07/2021,425000.0,SAINT-CYR-L ECOLE,78,Maison,82.0,3.0,2021,5182.926829268293
30/09/2021,650000.0,SAINT-GERMAIN-EN-LAYE,78,Appartement,92.0,4.0,2021,7065.217391304348
14/09/2021,260830.0,VILLARS-EN-PONS,17,Maison,170.0,6.0,2021,1534.2941176470588
30/12/2021,179000.0,ATTIN,62,Maison,70.0,3.0,2021,2557.1428571428573
27/01/2021,354000.0,CHENNEVIERES SUR MARNE,94,Appartement,61.0,3.0,2021,5803.2786885245905
23/08/2021,407500.0,BIGANOS,33,Maison,113.0,5.0,2021,3606.1946902654868
04/06/2021,1650000.0,NICE,06,Maison,240.0,9.0,2021,6875.0
10/03/2021,129000.0,ARNAC-POMPADOUR,19,Maison,124.0,5.0,2021,1040.3225806451612
19/11/2021,100005.0,LA FERTE MACE,61,Maison,86.0,5.0,2021,1162.8488372093022
11/06/2021,390650.0,PORT-MARLY (LE),78,Appartement,83.0,4.0,2021,4706.626506024097
03/09/2021,155000.0,FIRMINY,42,Maison,65.0,4.0,2021,2384.6153846153848
27/07/2021,110000.0,CHAMPDENIERS,79,Maison,98.0,4.0,2021,1122.4489795918366
06/04/2021,279000.0,CHAUMES-EN-RETZ,44,Maison,128.0,4.0,2021,2179.6875
26/08/2021,147200.0,PETITE FORET,59,Maison,68.0,4.0,2021,2164.705882352941
09/06/2021,200000.0,SAINT-MICHEL-EN-L HERM,85,Maison,84.0,3.0,2021,2380.9523809523807
25/06/2021,439550.0,ROSNAY,51,Maison,190.0,8.0,2021,2313.4210526315787
